timestamp,source_ip,destination_ip,protocol,status,action,username
2025-12-29 07:55:01,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:15,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:01,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:15,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:29,203.0.113.10,10.0.0.5,TCP,failed,blocked,admin
2025-12-29 07:56:02,203.0.113.11,10.0.0.8,TCP,failed,blocked,admin
2025-12-29 07:56:18,203.0.113.11,10.0.0.8,TCP,failed,blocked,admin
2025-12-29 07:56:33,203.0.113.11,10.0.0.8,TCP,failed,blocked,user1
2025-12-29 07:57:05,198.51.100.20,10.0.0.10,ICMP,failed,blocked,N/A
2025-12-29 07:57:12,198.51.100.20,10.0.0.11,ICMP,failed,blocked,N/A
2025-12-29 07:57:20,198.51.100.20,10.0.0.12,ICMP,failed,blocked,N/A
2025-12-29 07:57:45,198.51.100.21,10.0.0.5,TCP,success,allowed,N/A
2025-12-29 07:58:02,198.51.100.21,10.0.0.5,TCP,failed,blocked,N/A
2025-12-29 07:58:20,198.51.100.21,10.0.0.5,TCP,failed,blocked,N/A
2025-12-29 07:58:55,203.0.113.12,10.0.0.15,UDP,failed,blocked,N/A
2025-12-29 07:59:10,203.0.113.12,10.0.0.15,UDP,failed,blocked,N/A
2025-12-29 07:59:24,203.0.113.12,10.0.0.15,UDP,failed,blocked,N/A
2025-12-29 08:00:01,203.0.113.13,10.0.0.5,TCP,failed,blocked,root
2025-12-29 08:00:15,203.0.113.13,10.0.0.5,TCP,failed,blocked,admin
2025-12-29 08:00:29,203.0.113.13,10.0.0.5,TCP,failed,blocked,admin
2025-12-29 07:55:01,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:15,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:01,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 07:55:15,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
2025-12-29 08:01:02,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-29 08:01:18,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-29 08:01:33,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-29 08:01:02,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-29 08:01:18,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-29 08:01:33,203.0.113.14,10.0.0.20,TCP,failed,blocked,administrator
2025-12-29 08:02:10,198.51.100.30,10.0.0.25,TCP,success,allowed,user2
2025-12-29 08:02:25,198.51.100.30,10.0.0.25,TCP,success,allowed,user2
2025-12-29 08:02:40,198.51.100.30,10.0.0.25,TCP,success,allowed,user2
2025-12-29 08:03:01,203.0.113.15,10.0.0.30,TCP,failed,blocked,N/A
2025-12-29 08:03:18,203.0.113.15,10.0.0.30,TCP,failed,blocked,N/A
2025-12-29 08:03:35,203.0.113.15,10.0.0.30,TCP,failed,blocked,N/A
2025-12-29 08:04:05,203.0.113.16,10.0.0.40,TCP,failed,blocked,N/A
2025-12-29 08:04:22,203.0.113.16,10.0.0.40,TCP,failed,blocked,N/A
2025-12-29 08:04:40,203.0.113.16,10.0.0.40,TCP,failed,blocked,N/A
2025-12-29 08:05:10,203.0.113.17,10.0.0.5,TCP,failed,blocked,root
2025-12-29 08:05:25,203.0.113.17,10.0.0.5,TCP,failed,blocked,root
2025-12-29 08:05:41,203.0.113.17,10.0.0.5,TCP,failed,blocked,admin
2025-12-29 08:06:02,198.51.100.40,10.0.0.50,UDP,success,allowed,user3
2025-12-29 08:06:18,198.51.100.40,10.0.0.50,UDP,success,allowed,user3
2025-12-29 08:06:35,198.51.100.40,10.0.0.50,UDP,success,allowed,user3
2025-12-29 08:07:01,203.0.113.18,10.0.0.60,TCP,failed,blocked,N/A
2025-12-29 08:07:18,203.0.113.18,10.0.0.60,TCP,failed,blocked,N/A
2025-12-29 08:07:35,203.0.113.18,10.0.0.60,TCP,failed,blocked,N/A
2025-12-29 08:08:05,203.0.113.19,10.0.0.70,TCP,failed,blocked,N/A
2025-12-29 08:08:18,203.0.113.19,10.0.0.70,TCP,failed,blocked,N/A
2025-12-29 08:08:35,203.0.113.19,10.0.0.70,TCP,failed,blocked,N/A
2025-12-29 08:09:01,198.51.100.50,10.0.0.80,TCP,success,allowed,user4
2025-12-29 08:09:18,198.51.100.50,10.0.0.80,TCP,success,allowed,user4
2025-12-29 08:09:35,198.51.100.50,10.0.0.80,TCP,success,allowed,user4
2025-12-30 08:10:01,203.0.113.20,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 08:10:18,203.0.113.20,10.0.0.5,TCP,failed,blocked,admin
2025-12-30 08:10:35,203.0.113.20,10.0.0.5,TCP,failed,blocked,root
2025-12-30 00:01:10,203.0.113.10,10.0.0.5,TCP,failed,blocked,root
